,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-25 10:10:00,136892,2530
1,Bayern,2020-11-25 10:10:00,188809,3553
2,Berlin,2020-11-25 10:10:00,58924,492
3,Branden­burg,2020-11-25 10:10:00,16316,293
4,Bremen,2020-11-25 10:10:00,9449,113
5,Hamburg,2020-11-25 10:10:00,23331,347
6,Hessen,2020-11-25 10:10:00,79260,1111
7,Meck­lenburg- Vor­pommern,2020-11-25 10:10:00,5388,55
8,Nieder­sachsen,2020-11-25 10:10:00,65708,1052
9,Nord­rhein-West­falen,2020-11-25 10:10:00,240962,3126
10,Rhein­land-Pfalz,2020-11-25 10:10:00,39969,452
11,Saarland,2020-11-25 10:10:00,11686,248
12,Sachsen,2020-11-25 10:10:00,46282,710
13,Sachsen-Anhalt,2020-11-25 10:10:00,10416,129
14,Schles­wig-Holstein,2020-11-25 10:10:00,13307,241
15,Thüringen,2020-11-25 10:10:00,14621,319
16,Gesamt,2020-11-25 10:10:00,961320,14771
